# FastQC theoretical GC content curve: Human Genome (UCSC hg38)
0	0.005
1	0.004
2	0.004
3	0.005
4	0.006
5	0.005
6	0.007
7	0.007
8	0.007
9	0.009
10	0.01
11	0.012
12	0.016
13	0.02
14	0.03
15	0.043
16	0.069
17	0.101
18	0.152
19	0.213
20	0.321
21	0.436
22	0.604
23	0.801
24	1.037
25	1.273
26	1.58
27	1.855
28	2.167
29	2.446
30	2.734
31	2.993
32	3.22
33	3.435
34	3.624
35	3.763
36	3.906
37	3.979
38	3.948
39	3.925
40	3.781
41	3.63
42	3.402
43	3.221
44	2.993
45	2.848
46	2.745
47	2.665
48	2.543
49	2.414
50	2.319
51	2.152
52	1.941
53	1.804
54	1.658
55	1.553
56	1.416
57	1.293
58	1.159
59	0.977
60	0.839
61	0.686
62	0.588
63	0.465
64	0.387
65	0.322
66	0.267
67	0.221
68	0.174
69	0.137
70	0.109
71	0.084
72	0.069
73	0.058
74	0.05
75	0.044
76	0.033
77	0.034
78	0.026
79	0.026
80	0.019
81	0.018
82	0.014
83	0.011
84	0.009
85	0.009
86	0.005
87	0.003
88	0.002
89	0.001
90	0.001
91	0.001
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
