# FastQC theoretical GC content curve: Mouse Genome (UCSC mm10)
0	0
1	0
2	0
3	0
4	0.001
5	0.001
6	0.002
7	0.002
8	0.003
9	0.006
10	0.009
11	0.01
12	0.015
13	0.019
14	0.027
15	0.039
16	0.055
17	0.08
18	0.121
19	0.168
20	0.227
21	0.311
22	0.413
23	0.534
24	0.705
25	0.85
26	1.051
27	1.286
28	1.496
29	1.761
30	2.022
31	2.308
32	2.646
33	2.933
34	3.187
35	3.465
36	3.628
37	3.781
38	3.984
39	4.014
40	4.067
41	4.109
42	4.081
43	4.005
44	3.997
45	3.924
46	3.879
47	3.771
48	3.599
49	3.35
50	3.094
51	2.782
52	2.496
53	2.18
54	1.851
55	1.572
56	1.295
57	1.074
58	0.858
59	0.662
60	0.493
61	0.382
62	0.282
63	0.229
64	0.154
65	0.127
66	0.101
67	0.077
68	0.058
69	0.044
70	0.035
71	0.032
72	0.028
73	0.025
74	0.023
75	0.016
76	0.014
77	0.014
78	0.012
79	0.01
80	0.008
81	0.007
82	0.006
83	0.005
84	0.004
85	0.003
86	0.001
87	0.001
88	0.001
89	0
90	0.001
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
