# FastQC theoretical GC content curve: Mouse Transcriptome (UCSC mm10)
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0.001
11	0.001
12	0.001
13	0.002
14	0.003
15	0.008
16	0.012
17	0.022
18	0.031
19	0.055
20	0.082
21	0.119
22	0.17
23	0.224
24	0.298
25	0.381
26	0.454
27	0.563
28	0.659
29	0.757
30	0.872
31	1.002
32	1.13
33	1.25
34	1.386
35	1.533
36	1.69
37	1.867
38	2.05
39	2.205
40	2.403
41	2.628
42	2.792
43	2.971
44	3.155
45	3.341
46	3.502
47	3.652
48	3.731
49	3.788
50	3.892
51	3.922
52	3.875
53	3.827
54	3.726
55	3.589
56	3.415
57	3.197
58	2.923
59	2.592
60	2.301
61	1.972
62	1.687
63	1.395
64	1.168
65	0.933
66	0.771
67	0.626
68	0.503
69	0.426
70	0.36
71	0.309
72	0.271
73	0.233
74	0.209
75	0.188
76	0.165
77	0.142
78	0.117
79	0.105
80	0.095
81	0.071
82	0.056
83	0.042
84	0.035
85	0.024
86	0.017
87	0.013
88	0.007
89	0.004
90	0.002
91	0.001
92	0.001
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
